기획년도,주차,카테고리,라인,시즌이월,시즌,복종,소품종,성별,총입고수량,판매수량,판매액,평균택가,평균원가,총입고원가,총입고택가,매출원가계,판매택가계,주차별_평균_실판매가,월,월별_평균_실판매가,시즌별_평균_실판매가,실판매가,할인율,누적판매수량,누적판매액,누적매출원가,누적판매택가,누적판매율,ROI,맑음,흐림,비,강한 비,눈,강한 눈,진눈깨비,악천후일수,평균기온(도)
2024,2024-03-17,여름_자켓_싱글재킷_ZA,ZA,01_시즌,여름,자켓,싱글재킷,1:남성,27445,354,77137670,311857,40036,1098788020,8558919286,14172744,110397429,218768.0,3,208589.0,173409,217903.0,30.0,888,190456690,33431502,272557715,3.24,0.13,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_점퍼_점퍼_ZA,ZA,01_시즌,여름,점퍼,점퍼,1:남성,4023,222,36900005,249000,34968,140678276,1001727000,7763007,55278000,166691.0,3,166385.0,160176,166216.0,33.0,2742,479327401,95883626,682758000,68.16,2.42,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_점퍼_점퍼_ZB,ZB,01_시즌,여름,점퍼,점퍼,1:남성,11515,795,101303400,249000,24849,286136235,2867235000,19754955,197955000,127203.0,3,134096.0,113074,127426.0,49.0,1741,265097493,43262053,433509000,15.12,0.69,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_점퍼_점퍼_ZG,ZG,01_시즌,여름,점퍼,점퍼,1:남성,5001,118,15142800,249000,30900,154528400,1245249000,3646141,29382000,128511.0,3,144955.0,103779,128329.0,48.0,182,27792000,5623709,45318000,3.64,0.13,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_팬츠_팬츠(일반)_ZA,ZA,01_시즌,여름,팬츠,팬츠(일반),1:남성,24224,240,21406800,129000,13020,315390424,3124896000,3124740,30960000,89037.0,3,86319.0,75881,89195.0,31.0,723,64897920,8773378,93267000,2.98,0.16,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_스웨터_라운드_ZB,ZB,01_시즌,여름,스웨터,라운드,1:남성,24650,291,18482400,94000,14528,358109038,2317100000,4227575,27354000,65619.0,3,62975.0,44268,63513.0,32.0,500,31766100,7263875,47000000,2.03,0.06,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_니트 셔츠_티에리_ZA,ZA,01_시즌,여름,니트 셔츠,티에리,1:남성,4070,0,0,99000,11126,45282820,402930000,0,0,,3,58550.0,34841,58550.0,41.0,0,0,0,0,0.0,0.0,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_수트_블레이져(수트)_ZC,ZC,01_시즌,여름,수트,블레이져(수트),1:남성,4028,178,39430880,279000,56977,229503356,1123812000,10141906,49662000,221522.0,3,216640.0,181104,221522.0,21.0,817,180641150,46550209,227943000,20.28,0.51,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,사계절_우븐 셔츠_드레스셔츠_ZB,ZB,01_시즌,사계절,우븐 셔츠,드레스셔츠,1:남성,156781,2577,83385900,79000,7559,1185076223,12385699000,19479028,203583000,36593.0,3,36527.0,33114,32358.0,59.0,22348,708018276,174190244,1765492000,14.25,0.4,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,봄_니트 셔츠_라운드_ZB,ZB,01_시즌,봄,니트 셔츠,라운드,1:남성,8906,748,22010200,89000,6766,60257996,792634000,5060968,66572000,29424.0,3,30105.0,39283,29425.0,67.0,3701,136873686,25040966,329389000,41.56,1.65,7,0,0,0,0,0,0,0,7.9
