,주차,카테고리,판매액,판매수량,매출원가,판매택가,실판매가,택가,할인율,할인율2
195,2021-02-07,수트_블레이져(수트)_ZA,15636810,99,5077366,30741000,157947.57575757575,310515.1515151515,49.13369766761003,49.13369766761003
196,2021-02-07,수트_수트팬츠_ZA,8525840,107,3078934,18513000,79680.7476635514,173018.69158878503,53.946740128558304,53.94674012855831
198,2021-02-07,수트_블레이져(수트)_ZA,0,0,0,0,0.0,0.0,0.0,0.0
199,2021-02-07,수트_수트팬츠_ZA,0,0,0,0,0.0,0.0,0.0,0.0
200,2021-02-07,자켓_싱글재킷_ZA,6783500,31,1134600,8029000,218822.5806451613,259000.0,15.512517125420347,15.51251712542035
201,2021-02-07,팬츠_팬츠(일반)_ZA,5083000,42,684600,5838000,121023.80952380953,139000.0,12.932511133949982,12.932511133949983
202,2021-02-07,니트 셔츠_라운드_ZB,58459176,1918,15821427,134068200,30479.236704900937,69900.0,56.39594176695145,56.395941766951445
203,2021-02-07,수트_블레이져(수트)_ZB,60843498,479,19568397,95321000,127021.91649269311,199000.0,36.16989120970196,36.16989120970195
204,2021-02-07,수트_수트팬츠_ZB,33565294,534,11191852,52866000,62856.355805243446,99000.0,36.5087315098551,36.5087315098551
205,2021-02-07,스웨터_T-에리_ZB,15232329,365,3594659,36463500,41732.40821917808,99900.0,58.225817598420335,58.225817598420335
206,2021-02-07,스웨터_라운드_ZB,83949287,1938,16700030,180946200,43317.485552115584,93367.49226006192,53.605388231419056,53.60538823141906
207,2021-02-07,스웨터_오픈형(CARDIGAN)_ZB,16007519,211,3046824,33738900,75865.01895734596,159900.0,52.55470984531209,52.55470984531209
208,2021-02-07,우븐 셔츠_드레스셔츠_ZB,5168830,134,794499,9366600,38573.35820895522,69900.0,44.81636879977793,44.81636879977793
209,2021-02-07,우븐 셔츠_캐쥬얼셔츠_ZB,17438057,543,4257658,37955700,32114.285451197054,69900.0,54.056816235769595,54.056816235769595
210,2021-02-07,점퍼_패딩점퍼_ZB,23658989,225,4350504,44775000,105151.06222222222,199000.0,47.16027024008934,47.16027024008933
211,2021-02-07,코트_더블코트_ZB,6805169,40,1388740,13160000,170129.225,329000.0,48.28898936170213,48.28898936170213
212,2021-02-07,코트_싱글코트_ZB,55221500,348,9146038,86652000,158682.4712643678,249000.0,36.27209989382819,36.272099893828184
213,2021-02-07,니트 셔츠_라운드_ZB,0,0,0,0,0.0,0.0,0.0,0.0
214,2021-02-07,데님_데님팬츠_ZB,13174420,197,2312865,15740300,66875.22842639594,79900.0,16.301341143434364,16.301341143434367
218,2021-02-07,수트_블레이져(수트)_ZB,93412380,794,28374786,158006000,117647.83375314862,199000.0,40.8804855511816,40.8804855511816
219,2021-02-07,수트_수트팬츠_ZB,59697360,948,16250486,93852000,62971.898734177215,99000.0,36.392021480629076,36.392021480629076
220,2021-02-07,우븐 셔츠_드레스셔츠_ZB,42800019,1420,10136922,73458000,30140.858450704225,51730.98591549296,41.73538756840644,41.73538756840644
221,2021-02-07,자켓_싱글재킷_ZB,1954500,27,637688,5373000,72388.88888888889,199000.0,63.62367392518146,63.623673925181464
222,2021-02-07,팬츠_팬츠(일반)_ZB,35904720,999,9888187,66980100,35940.66066066066,67047.14714714715,46.39494416998482,46.39494416998482
223,2021-02-07,수트_블레이져(수트)_ZB,0,0,0,0,0.0,0.0,0.0,0.0
224,2021-02-07,수트_수트팬츠_ZB,0,0,0,0,0.0,0.0,0.0,0.0
225,2021-02-07,우븐 셔츠_드레스셔츠_ZB,9561900,163,1031658,11393700,58661.96319018405,69900.0,16.077305879565024,16.077305879565024
226,2021-02-07,점퍼_점퍼_ZB,0,0,0,0,0.0,0.0,0.0,0.0
227,2021-02-07,조끼_패딩베스트_ZB,780368,45,452087,3555000,17341.51111111111,79000.0,78.04872011251759,78.04872011251759
228,2021-02-07,수트_블레이져(수트)_ZC,10180840,66,3026519,15414000,154255.15151515152,233545.45454545456,33.95069417412742,33.95069417412741
229,2021-02-07,수트_수트팬츠_ZC,3427380,45,1044289,5255000,76164.0,116777.77777777778,34.77868696479543,34.77868696479543
230,2021-02-07,우븐 셔츠_드레스셔츠_ZC,174000,6,45213,239400,29000.0,39900.0,27.318295739348372,27.318295739348372
231,2021-02-07,수트_블레이져(수트)_ZC,0,0,0,0,0.0,0.0,0.0,0.0
232,2021-02-07,수트_수트팬츠_ZC,0,0,0,0,0.0,0.0,0.0,0.0
247,2021-02-14,가죽&FUR_가죽점퍼_ZA,3949000,11,2261000,10989000,359000.0,999000.0,64.06406406406407,64.06406406406407
248,2021-02-14,수트_블레이져(수트)_ZA,20242359,125,6346747,38015000,161938.872,304120.0,46.75165329475207,46.751653294752074
249,2021-02-14,수트_수트팬츠_ZA,11818517,143,4077599,24397000,82646.97202797203,170608.3916083916,51.557498872812225,51.55749887281223
251,2021-02-14,수트_블레이져(수트)_ZA,16161600,63,3024125,16317000,256533.33333333334,259000.0,0.9523809523809487,0.9523809523809523
252,2021-02-14,수트_수트팬츠_ZA,14080700,102,2446495,14178000,138046.07843137256,139000.0,0.6862745098039138,0.6862745098039216
253,2021-02-14,자켓_싱글재킷_ZA,2719500,11,402600,2849000,247227.27272727274,259000.0,4.545454545454543,4.545454545454546
254,2021-02-14,팬츠_팬츠(일반)_ZA,1578500,12,195600,1668000,131541.66666666666,139000.0,5.365707434052765,5.365707434052758
255,2021-02-14,니트 셔츠_라운드_ZB,86841690,2934,24254310,205086600,29598.394683026585,69900.0,57.65608772099201,57.65608772099201
256,2021-02-14,수트_블레이져(수트)_ZB,63371228,508,20775825,101092000,124746.51181102362,199000.0,37.31331064772682,37.31331064772682
257,2021-02-14,수트_수트팬츠_ZB,33234251,538,11266458,53262000,61773.700743494424,99000.0,37.602322481318765,37.602322481318765
258,2021-02-14,스웨터_T-에리_ZB,35637658,805,7927948,80419500,44270.382608695654,99900.0,55.685302693998345,55.685302693998345
259,2021-02-14,스웨터_라운드_ZB,102622868,2545,21559852,235765500,40323.32730844794,92638.70333988212,56.472483039291156,56.47248303929116
260,2021-02-14,스웨터_오픈형(CARDIGAN)_ZB,29519539,411,5933985,65718900,71823.69586374697,159900.0,55.08211640791309,55.0821164079131
261,2021-02-14,우븐 셔츠_드레스셔츠_ZB,3847850,149,883436,10415100,25824.4966442953,69900.0,63.05508348455607,63.05508348455608
262,2021-02-14,우븐 셔츠_캐쥬얼셔츠_ZB,27274685,828,6538273,57877200,32940.44082125604,69900.0,52.87490583511297,52.87490583511296
263,2021-02-14,점퍼_패딩점퍼_ZB,42970189,380,7347518,75620000,113079.44473684211,199000.0,43.17615842369744,43.17615842369744
264,2021-02-14,코트_더블코트_ZB,15792384,97,3380209,31913000,162808.0824742268,329000.0,50.51426064613167,50.51426064613167
265,2021-02-14,코트_싱글코트_ZB,86517400,625,16348249,155625000,138427.84,249000.0,44.406489959839355,44.406489959839355
266,2021-02-14,니트 셔츠_라운드_ZB,0,0,0,0,0.0,0.0,0.0,0.0
267,2021-02-14,데님_데님팬츠_ZB,13486710,186,2183361,14861400,72509.19354838709,79900.0,9.250070652832177,9.25007065283217
271,2021-02-14,수트_블레이져(수트)_ZB,131898902,1264,45008934,251536000,104350.39715189874,199000.0,47.56261449653329,47.5626144965333
272,2021-02-14,수트_수트팬츠_ZB,79344884,1309,22825608,129591000,60614.884644767,99000.0,38.77284379316465,38.77284379316465
273,2021-02-14,우븐 셔츠_드레스셔츠_ZB,51466855,1643,11839676,85535700,31324.926962872793,52060.68167985393,39.829971579118435,39.82997157911843
274,2021-02-14,자켓_싱글재킷_ZB,14415700,123,2905025,24477000,117200.81300813008,199000.0,41.10511909139192,41.10511909139192
275,2021-02-14,팬츠_팬츠(일반)_ZB,35187680,950,9326577,64915000,37039.663157894734,68331.57894736843,45.794223214973435,45.79422321497343
276,2021-02-14,수트_블레이져(수트)_ZB,10348000,54,2311202,10746000,191629.62962962964,199000.0,3.703703703703701,3.7037037037037037
277,2021-02-14,수트_수트팬츠_ZB,7137700,74,1640674,7326000,96455.4054054054,99000.0,2.5702975702975763,2.57029757029757
278,2021-02-14,우븐 셔츠_드레스셔츠_ZB,18134030,295,1867112,20620500,61471.28813559322,69900.0,12.058243010596254,12.058243010596252
279,2021-02-14,점퍼_점퍼_ZB,9552000,48,1048208,9552000,199000.0,199000.0,0.0,0.0
280,2021-02-14,조끼_패딩베스트_ZB,3212400,233,2356342,18407000,13787.124463519312,79000.0,82.54794371706416,82.54794371706416
281,2021-02-14,수트_블레이져(수트)_ZC,20717790,140,6159048,30020000,147984.2142857143,214428.57142857142,30.98670886075949,30.986708860759492
282,2021-02-14,수트_수트팬츠_ZC,7436880,100,2223017,10940000,74368.8,109400.0,32.02120658135283,32.021206581352835
283,2021-02-14,우븐 셔츠_드레스셔츠_ZC,340000,12,90426,478800,28333.333333333332,39900.0,28.989139515455307,28.989139515455307
284,2021-02-14,수트_블레이져(수트)_ZC,0,0,0,0,0.0,0.0,0.0,0.0
285,2021-02-14,수트_수트팬츠_ZC,0,0,0,0,0.0,0.0,0.0,0.0
301,2021-02-21,가죽&FUR_가죽점퍼_ZA,56657000,123,25196000,122877000,460626.0162601626,999000.0,53.89128966364739,53.891289663647385
302,2021-02-21,수트_블레이져(수트)_ZA,20233636,163,8453339,51397000,124132.73619631902,315319.01840490795,60.63265171118937,60.63265171118937
303,2021-02-21,수트_수트팬츠_ZA,11003057,165,4846223,29135000,66685.19393939394,176575.75757575757,62.234230307190664,62.234230307190664
305,2021-02-21,수트_블레이져(수트)_ZA,32128540,146,6486060,37814000,220058.49315068492,259000.0,15.035330829851379,15.035330829851377
306,2021-02-21,수트_수트팬츠_ZA,17116160,151,3097200,20989000,113352.05298013244,139000.0,18.451760445947883,18.451760445947876
307,2021-02-21,자켓_싱글재킷_ZA,16098500,64,2270400,16576000,251539.0625,259000.0,2.8806708494208495,2.8806708494208495
308,2021-02-21,팬츠_팬츠(일반)_ZA,12314300,90,1334000,12510000,136825.55555555556,139000.0,1.564348521183049,1.5643485211830535
309,2021-02-21,니트 셔츠_라운드_ZB,84344532,2763,23241957,193133700,30526.43213897937,69900.0,56.32842326326271,56.32842326326271
310,2021-02-21,수트_블레이져(수트)_ZB,45642400,356,14658959,70844000,128208.98876404495,199000.0,35.573372480379426,35.573372480379426
311,2021-02-21,수트_수트팬츠_ZB,23495800,369,7784216,36531000,63674.254742547426,99000.0,35.68257096712381,35.682570967123816
312,2021-02-21,스웨터_T-에리_ZB,22438323,601,5918854,60039900,37334.98003327787,99900.0,62.62764761433647,62.62764761433647
313,2021-02-21,스웨터_라운드_ZB,98541477,2566,21802177,237543400,38402.75798908807,92573.42166796571,58.51643236562245,58.51643236562245
314,2021-02-21,스웨터_오픈형(CARDIGAN)_ZB,23241728,324,4616301,51807600,71733.72839506173,159900.0,55.13838124136227,55.13838124136227
