,기간,주차,라인,성별,기획년도,시즌이월,상품년차,시즌,복종,소품종,CAT,총입고수량,총입고원가,총입고택가,총출고수량,총출고원가,총출고택가,판매액,판매수량,매출원가,판매택가,총판매액,총판매수량,총매출원가,총판매택가,물류재고수량,물류재고원가,물류재고택가,매장재고수량,매장재고원가,매장재고택가,재고수량,재고원가,재고택가,기간입고수량,기간입고원가,기간입고택가,기간출고수량,기간출고원가,기간출고택가
64,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,03_SWEATER,14822,146723504,1480717800,13701,135626685,1368729900,17540919,507,5018811,50649300,136303560,2785,27568814,278221500,1119,11077021,111788100,10916,108057871,1090508400,12035,119134892,1202296500,0,0,0,311,3078600,31068900
65,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,1930,81189842,384070000,1207,50775202,240193000,13602791,81,3407449,16119000,17602691,105,4417064,20895000,723,30414640,143877000,1102,46358138,219298000,1825,76772778,363175000,0,0,0,55,2313700,10945000
66,당해,20210103,ZC,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,976,52601715,311344000,746,40205819,237974000,3165200,18,970114,5742000,23542869,116,6251843,37004000,230,12395896,73370000,630,33953976,200970000,860,46349872,274340000,0,0,0,8,431162,2552000
67,당해,20210110,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,1820,37928190,180180000,1113,23194547,110187000,1098900,15,312595,1485000,2474800,31,646030,3069000,707,14733643,69993000,1082,22548517,107118000,1789,37282160,177111000,0,0,0,56,1167021,5544000
68,당해,20210110,ZB,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,캐쥬얼셔츠,02_SHIRTS,2247,19893640,157065300,1086,9614817,75911400,188800,5,44267,349500,273650,8,70827,559200,1161,10278823,81153900,1078,9543989,75352200,2239,19822813,156506100,0,0,0,77,681714,5382300
69,당해,20210110,ZE,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,02_SHIRTS,20547,110257522,1641705300,20537,110203861,1640906300,5489089,298,1599102,23810200,13587072,673,3611394,53772700,10,53661,799000,19864,106592467,1587133600,19874,106646128,1587932600,0,0,0,81,434655,6471900
70,당해,20210110,ZA,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,489,18401014,107091000,393,14788545,86067000,1318380,9,338669,1971000,10054000,65,2445943,14235000,96,3612469,21024000,328,12342602,71832000,424,15955071,92856000,0,0,0,9,338669,1971000
71,당해,20210110,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,수트팬츠,09_SUITS,2322,36792774,229878000,1654,26208117,163746000,2125000,36,570431,3564000,11102200,164,2598628,16236000,668,10584657,66132000,1490,23609489,147510000,2158,34194146,213642000,0,0,0,66,1045789,6534000
72,당해,20210110,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,오픈형(CARDIGAN),03_SWEATER,5717,76011425,914148300,3537,47026835,565566300,2970500,35,465349,5596500,12175430,142,1887987,22705800,2180,28984590,348582000,3395,45138848,542860500,5575,74123438,891442500,0,0,0,199,2645841,31820100
73,당해,20210110,ZE,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,03_SWEATER,17477,146607072,2095492300,17470,146542766,2094653000,7380147,201,1764420,24099900,16275917,443,3882460,53115700,7,64306,839300,17027,142660306,2041537300,17034,142724612,2042376600,338,3155421,40526200,379,3517200,45442100
74,당해,20210110,ZE,1:남성,2021,01_시즌,당해년도,봄,팬츠,팬츠(일반),04_PANTS,3210,33330214,256479000,3210,33330214,256479000,144300,4,41533,319600,144300,4,41533,319600,0,0,0,3206,33288681,256159400,3206,33288681,256159400,3210,33330214,256479000,3210,33330214,256479000
75,당해,20210110,ZE,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,02_SHIRTS,5127,26331384,409647300,5120,26295433,409088000,4492674,246,1263413,19655400,7419313,383,1967022,30601700,7,35951,559300,4737,24328412,378486300,4744,24364362,379045600,0,0,0,101,518719,8069900
76,당해,20210110,ZE,1:남성,2021,01_시즌,당해년도,봄,코트,싱글코트,06_OUTER,5242,118226071,1724618000,5242,118226071,1724618000,124659,1,22554,329000,124659,1,22554,329000,0,0,0,5241,118203517,1724289000,5241,118203517,1724289000,5242,118226071,1724618000,5242,118226071,1724618000
77,당해,20210110,ZE,1:남성,2021,01_시즌,당해년도,봄,코트,더블코트,06_OUTER,1977,72384548,788823000,1977,72384548,788823000,576300,4,146611,1596000,576300,4,146611,1596000,0,0,0,1973,72237937,787227000,1973,72237937,787227000,0,0,0,0,0,0
78,당해,20210110,ZA,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,1509,78118694,481371000,1490,77135092,475310000,4842420,23,1190676,7337000,100466832,497,25728954,158543000,19,983602,6061000,993,51406139,316767000,1012,52389740,322828000,0,0,0,57,2950806,18183000
79,당해,20210110,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,블레이져(수트),09_SUITS,1937,69177172,385463000,1360,48570446,270640000,3487500,33,1178548,6567000,14752100,132,4714190,26268000,577,20606726,114823000,1228,43856256,244372000,1805,64462982,359195000,0,0,0,63,2249954,12537000
80,당해,20210110,ZB,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,01_KNIT,15400,116571107,1076460000,0,0,0,0,0,0,0,0,0,0,0,15400,116571107,1076460000,0,0,0,15400,116571107,1076460000,15400,116571107,1076460000,0,0,0
81,당해,20210110,ZE,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,01_KNIT,17148,105951285,1198645200,17146,105938928,1198505400,1362791,51,315111,3564900,2599747,100,617864,6990000,2,12357,139800,17046,105321064,1191515400,17048,105333421,1191655200,0,0,0,28,173002,1957200
82,당해,20210110,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,블레이져(수트),09_SUITS,1640,62016080,326360000,937,35432358,186463000,5890200,34,1285699,6766000,5890200,34,1285699,6766000,703,26583722,139897000,903,34146659,179697000,1606,60730381,319594000,1640,62016080,326360000,937,35432358,186463000
83,당해,20210110,ZC,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,02_SHIRTS,1000,7535469,39900000,842,6344865,33595800,576330,18,135638,718200,16170133,431,3247787,17196900,157,1183069,6264300,411,3097078,16398900,568,4280146,22663200,0,0,0,10,75355,399000
84,당해,20210110,ZD,1:남성,2021,01_시즌,당해년도,봄,점퍼,패딩점퍼,06_OUTER,300,8101068,59700000,300,8101068,59700000,17775000,300,8101068,59700000,17775000,300,8101068,59700000,0,0,0,0,0,0,0,0,0,300,8101068,59700000,300,8101068,59700000
